,Time,Temperature,Year,hour,temp maximal,temp minimal,ET,hour1
86,2022-06-01 09:00:00,19.09754117193802,2022-06-01,09:00:00,22.75977484332768,16.767247923535425,20.76322400528262,09
87,2022-06-01 12:00:00,22.07946650213525,2022-06-01,12:00:00,22.75977484332768,16.767247923535425,22.442142437214986,12
88,2022-06-01 15:00:00,21.995396624541932,2022-06-01,15:00:00,22.75977484332768,16.767247923535425,22.394808432693694,15
89,2022-06-01 18:00:00,20.166960947985153,2022-06-01,18:00:00,22.75977484332768,16.767247923535425,21.365341219719966,18
90,2022-06-02 06:00:00,16.338061902414292,2022-06-02,06:00:00,22.662929039834665,16.734214282013447,19.106998384623815,06
91,2022-06-02 09:00:00,19.358369149898035,2022-06-02,09:00:00,22.662929039834665,16.734214282013447,20.79844867461393,09
92,2022-06-02 12:00:00,22.341933657936238,2022-06-02,12:00:00,22.662929039834665,16.734214282013447,22.469322078811395,12
93,2022-06-02 15:00:00,22.25058371014585,2022-06-02,15:00:00,22.662929039834665,16.734214282013447,22.418163741920548,15
94,2022-06-02 18:00:00,20.405649209353236,2022-06-02,18:00:00,22.662929039834665,16.734214282013447,21.3849526343492,18
95,2022-06-03 06:00:00,16.437135435938007,2022-06-03,06:00:00,22.826022600701222,16.948038433588383,19.080321612439832,06
96,2022-06-03 09:00:00,19.414722959874403,2022-06-03,09:00:00,22.826022600701222,16.948038433588383,20.74069811275389,09
97,2022-06-03 12:00:00,22.358342481421136,2022-06-03,12:00:00,22.826022600701222,16.948038433588383,22.38213321420829,12
98,2022-06-03 15:00:00,22.232982143922204,2022-06-03,15:00:00,22.826022600701222,16.948038433588383,22.312229187279975,15
99,2022-06-03 18:00:00,20.362807848672627,2022-06-03,18:00:00,22.826022600701222,16.948038433588383,21.269373712382396,18
100,2022-06-04 06:00:00,16.41239231799923,2022-06-04,06:00:00,22.987051890692463,17.009982185884954,19.226555423176567,06
101,2022-06-04 09:00:00,19.423555806375088,2022-06-04,09:00:00,22.987051890692463,17.009982185884954,20.91974790760615,09
102,2022-06-04 12:00:00,22.40851114583247,2022-06-04,12:00:00,22.987051890692463,17.009982185884954,22.59820341712524,12
103,2022-06-04 15:00:00,22.328848679709775,2022-06-04,15:00:00,22.987051890692463,17.009982185884954,22.553408808844832,15
104,2022-06-04 18:00:00,20.504882650967197,2022-06-04,18:00:00,22.987051890692463,17.009982185884954,21.52778347045194,18
105,2022-06-05 06:00:00,16.669828015271452,2022-06-05,06:00:00,22.748665316446612,16.75254648860546,19.402156778443906,06
106,2022-06-05 09:00:00,19.67877697165455,2022-06-05,09:00:00,22.748665316446612,16.75254648860546,21.09679802205768,09
107,2022-06-05 12:00:00,22.646897720078506,2022-06-05,12:00:00,22.748665316446612,16.75254648860546,22.768444802783126,12
108,2022-06-05 15:00:00,22.536615995161938,2022-06-05,15:00:00,22.748665316446612,16.75254648860546,22.7063340916446,15
109,2022-06-05 18:00:00,20.67012130816654,2022-06-05,18:00:00,22.748665316446612,16.75254648860546,21.655123544899237,18
110,2022-06-06 06:00:00,16.60788426298214,2022-06-06,06:00:00,22.698496652035043,16.77728960655147,19.24590846925404,06
111,2022-06-06 09:00:00,19.563452718567376,2022-06-06,09:00:00,22.698496652035043,16.77728960655147,20.900055015048977,09
112,2022-06-06 12:00:00,22.485868430099753,2022-06-06,12:00:00,22.698496652035043,16.77728960655147,22.535646924778888,12
113,2022-06-06 15:00:00,22.33965514651563,2022-06-06,15:00:00,22.698496652035043,16.77728960655147,22.45381556082148,15
114,2022-06-06 18:00:00,20.448267317658043,2022-06-06,18:00:00,22.698496652035043,16.77728960655147,21.3952602639712,18
115,2022-06-07 06:00:00,16.394060111407114,2022-06-07,06:00:00,22.682087828550365,16.678216072930578,19.259283164540204,06
116,2022-06-07 09:00:00,19.372545963311246,2022-06-07,09:00:00,22.682087828550365,16.678216072930578,20.937851711455433,09
117,2022-06-07 12:00:00,22.32277486922076,2022-06-07,12:00:00,22.682087828550365,16.678216072930578,22.600495649983447,12
118,2022-06-07 15:00:00,22.207559805053798,2022-06-07,15:00:00,22.682087828550365,16.678216072930578,22.535564543220644,15
119,2022-06-07 18:00:00,20.348917956167277,2022-06-07,18:00:00,22.682087828550365,16.678216072930578,21.488100192994917,18
120,2022-06-08 06:00:00,22.419620672713556,2022-06-08,06:00:00,22.419620672713556,22.419620672713556,0.0,06
121,2022-06-08 09:00:00,22.419620672713556,2022-06-08,09:00:00,22.419620672713556,22.419620672713556,0.0,09
122,2022-06-08 12:00:00,22.419620672713556,2022-06-08,12:00:00,22.419620672713556,22.419620672713556,0.0,12
123,2022-06-08 15:00:00,22.419620672713556,2022-06-08,15:00:00,22.419620672713556,22.419620672713556,0.0,15
124,2022-06-08 18:00:00,22.419620672713556,2022-06-08,18:00:00,22.419620672713556,22.419620672713556,0.0,18
125,2022-06-09 06:00:00,16.678216072930578,2022-06-09,06:00:00,22.32277486922076,16.394060111407114,19.297493530706458,06
126,2022-06-09 09:00:00,19.69852332051844,2022-06-09,09:00:00,22.32277486922076,16.394060111407114,20.988943820753803,09
127,2022-06-09 12:00:00,22.682087828550365,2022-06-09,12:00:00,22.32277486922076,16.394060111407114,22.659817224946686,12
128,2022-06-09 15:00:00,22.590737880738978,2022-06-09,15:00:00,22.32277486922076,16.394060111407114,22.60865888804412,15
129,2022-06-09 18:00:00,20.745803379955106,2022-06-09,18:00:00,22.32277486922076,16.394060111407114,21.575447780478328,18
130,2022-06-10 06:00:00,16.77728960655147,2022-06-10,06:00:00,22.485868430099753,16.60788426298214,19.2699999969889,06
131,2022-06-10 09:00:00,19.75487713047507,2022-06-10,09:00:00,22.485868430099753,16.60788426298214,20.930376497296493,09
132,2022-06-10 12:00:00,22.698496652035043,2022-06-10,12:00:00,22.485868430099753,16.60788426298214,22.57181159875895,12
133,2022-06-10 15:00:00,22.573136314525065,2022-06-10,15:00:00,22.485868430099753,16.60788426298214,22.501907571824447,15
134,2022-06-10 18:00:00,20.702962019274207,2022-06-10,18:00:00,22.485868430099753,16.60788426298214,21.459052096925728,18
135,2022-06-11 06:00:00,16.75254648860546,2022-06-11,06:00:00,22.646897720078506,16.669828015271452,19.417825836569587,06
136,2022-06-11 09:00:00,19.76370997699574,2022-06-11,09:00:00,22.646897720078506,16.669828015271452,21.11101832100722,09
137,2022-06-11 12:00:00,22.748665316446612,2022-06-11,12:00:00,22.646897720078506,16.669828015271452,22.789473830522585,12
138,2022-06-11 15:00:00,22.669002850303002,2022-06-11,15:00:00,22.646897720078506,16.669828015271452,22.744679222230417,15
139,2022-06-11 18:00:00,20.845036821569025,2022-06-11,18:00:00,22.646897720078506,16.669828015271452,21.7190538838424,18
140,2022-06-12 06:00:00,17.009982185884954,2022-06-12,06:00:00,22.40851114583247,16.41239231799923,19.593731742002905,06
141,2022-06-12 09:00:00,20.01893114225546,2022-06-12,09:00:00,22.40851114583247,16.41239231799923,21.288372985608472,09
142,2022-06-12 12:00:00,22.987051890692463,2022-06-12,12:00:00,22.40851114583247,16.41239231799923,22.960019766340164,12
143,2022-06-12 15:00:00,22.876770165754802,2022-06-12,15:00:00,22.40851114583247,16.41239231799923,22.897909055189796,15
144,2022-06-12 18:00:00,21.0102754787681,2022-06-12,18:00:00,22.40851114583247,16.41239231799923,21.84669850845002,18
145,2022-06-13 06:00:00,16.948038433588383,2022-06-13,06:00:00,22.358342481421136,16.437135435938007,19.436282962282824,06
146,2022-06-13 09:00:00,19.90360688916795,2022-06-13,09:00:00,22.358342481421136,16.437135435938007,21.090429508074525,09
147,2022-06-13 12:00:00,22.826022600701222,2022-06-13,12:00:00,22.358342481421136,16.437135435938007,22.726021417804876,12
148,2022-06-13 15:00:00,22.679809317108326,2022-06-13,15:00:00,22.358342481421136,16.437135435938007,22.644190053842568,15
149,2022-06-13 18:00:00,20.788421488252457,2022-06-13,18:00:00,22.358342481421136,16.437135435938007,21.585634756993283,18
150,2022-06-14 06:00:00,16.734214282013447,2022-06-14,06:00:00,22.341933657936238,16.338061902414292,19.45098194029391,06
